event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
KEN16600,"12 December 2024",2024,1,"Political violence",Riots,"Mob violence","Rioters (Kenya)","Vigilante Group (Kenya)",Rioters,"Rioters only",,404,"Eastern Africa",Kenya,Siaya,Gem,"North Gem",Nyabeda,0.13,34.4074,2,"Citizen (Kenya)",National,"On 12 December 2024, a mob stormed a homestead and destroyed several properties before torching two houses in Onono village near Nyabeda (Gem, Siaya), over an accusation of abduction and murder that was leveled against the son of the homestead.",0,"crowd size=no report",1734465869
KEN16579,"11 December 2024",2024,2,Demonstrations,Protests,"Peaceful protest","Protesters (Kenya)","Health Workers (Kenya); Labor Group (Kenya)",Protesters,"Protesters only",,404,"Eastern Africa",Kenya,Bungoma,Kanduyi,Township,Bungoma,0.5635,34.5606,1,"Citizen (Kenya)",National,"Around 11 December 2024 (as reported), health workers including nurses, protested at the Bungoma county referral hospital (Kanduyi, Bungoma) against delayed pay. The group demanded their dues.",0,"crowd size=no report",1734465869
KEN16580,"11 December 2024",2024,2,Demonstrations,Protests,"Peaceful protest","Protesters (Kenya)","Health Workers (Kenya); Labor Group (Kenya)",Protesters,"Protesters only",,404,"Eastern Africa",Kenya,Bungoma,Kimilili,Kimilili,Kimilili,0.783,34.7193,1,"Citizen (Kenya)",National,"Around 11 December 2024 (as reported), health workers including nurses, protested at the Kimilili sub-county referral hospital (Kimilili, Bungoma) against delayed pay. The group demanded their dues.",0,"crowd size=no report",1734465869
KEN16581,"11 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Kenya)","Students (Kenya)",Protesters,"Protesters only",,404,"Eastern Africa",Kenya,Kiambu,Juja,Witeithie,Witeithie,-1.0676,37.0517,1,Kenyans.co,National,"On 11 December 2024, university students protested in Witeithie (Juja, Kiambu) over claims of incompetence by the students' leadership as well as frustration by lecturers, following the death of their colleague via suicide. The group demanded the responsible lecturer to resign.",0,"crowd size=no report",1734465869
KEN16582,"11 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Kenya)","Health Workers (Kenya); KMPDU: Kenya Medical Practitioners, Pharmacists and Dentists Union; Labor Group (Kenya)",Protesters,"Protesters only",,404,"Eastern Africa",Kenya,Kiambu,"Kiambu Town",Riabai,Kiambu,-1.1667,36.8333,1,"Citizen (Kenya)",National,"On 11 December 2024, doctors joined by KMPDU officials, gathered and held hand in solidarity, at the Kiambu level V hospital (Kiambu Town, Kiambu) in protest against delayed salaries among other grievances. The group demanded that the government honor the collective bargaining agreement.",0,"crowd size=no report",1734465869
KEN16583,"11 December 2024",2024,2,Demonstrations,Protests,"Peaceful protest","Protesters (Kenya)",,Protesters,"Protesters only",,404,"Eastern Africa",Kenya,Kilifi,Kaloleni,Kayafungo,Kayafungo,-3.7905,39.4573,2,"Kenya Broadcasting Corporation",National,"Around 11 December 2024 (as reported), over 5000 residents of Kaya Fungo and Mwanamwinga wards, marched while carrying twigs and chanting, in an unspecified location (coded to the nearest known location as Kayafungo, Kaloleni, Kilifi) against an attempt to grab their ancestral land. The group demanded the county governor to address the matter.",0,"crowd size=over 5000",1734465869
KEN16584,"11 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Kenya)","Labor Group (Kenya)",Protesters,"Protesters only",,404,"Eastern Africa",Kenya,Kisumu,"Kisumu Central",Railways,Kisumu,-0.1,34.75,1,"Citizen (Kenya); Kenyans.co; TUKO",National,"On 11 December 2024, county workers protested in Kisumu (Kisumu Central, Kisumu) against delayed pay. The group demanded audience with the governor.",0,"crowd size=no report",1734465869
KEN16588,"11 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Kenya)","Health Workers (Kenya); KMPDU: Kenya Medical Practitioners, Pharmacists and Dentists Union; Labor Group (Kenya)",Protesters,"Protesters only",,404,"Eastern Africa",Kenya,Machakos,Machakos,Township,Machakos,-1.5167,37.2667,1,"Kenya Broadcasting Corporation",National,"On 11 December 2024, doctors joined by KMPDU officials, gathered at the Machakos level 5 hospital (Machakos, Machakos) in protest against delayed salaries among other grievances. The group demanded that the government honor the collective bargaining agreement.",0,"crowd size=no report",1734465869
KEN16589,"11 December 2024",2024,2,Demonstrations,Riots,"Violent demonstration","Rioters (Kenya)",,Rioters,"Rioters only",,404,"Eastern Africa",Kenya,Meru,"Igembe South",Kanuni,Kimongoro,0.1745,37.9682,1,"Daily Nation (Kenya); Kenya Broadcasting Corporation",National,"Around 11 December 2024 (as reported), residents barricaded the Kimongoro-Kanuni road with burning tires, in Kimongoro (Igembe South, Meru) in demonstration against the poor state of the road. The group demanded that the area member of parliament fix the road.",0,"crowd size=no report",1734465869
KEN16590,"11 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Kenya)","Health Workers (Kenya); KMPDU: Kenya Medical Practitioners, Pharmacists and Dentists Union; Labor Group (Kenya); Students (Kenya)",Protesters,"Protesters only",,404,"Eastern Africa",Kenya,Nairobi,Starehe,"Nairobi Central",Nairobi,-1.283,36.817,1,"Citizen (Kenya); GardaWorld; Star (Kenya); TUKO",Other-National,"On 11 December 2024, intern doctors, joined by KMPDU officials, marched from Kenyatta national hospital while carrying placards and a coffin, before camping outside the Ministry of health headquarters, at Afya house in Nairobi (Starehe, Nairobi) in protest against delayed pay. The group demanded for the implementation of the collective bargaining agreement.",0,"crowd size=no report",1734465869
KEN16591,"11 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Kenya)","Labor Group (Kenya); Teachers (Kenya)",Protesters,"Protesters only",,404,"Eastern Africa",Kenya,Nairobi,Starehe,"Nairobi Central",Nairobi,-1.283,36.817,1,"KTN News (Kenya)",National,"On 11 December 2024, P1 grade teachers gathered in an unspecified location within Nairobi (Starehe, Nairobi) in protest against delayed employment by the Teachers Service Commission (TSC) among other grievances. The group demanded the government through TSC to address their grievances.",0,"crowd size=no report",1734465869
KEN16557,"10 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Kenya)","Women (Kenya)",Protesters,"Protesters only",,404,"Eastern Africa",Kenya,Bungoma,"Webuye West",Matulo,Webuye,0.6167,34.7667,1,"Citizen (Kenya)",National,"On 10 December 2024, residents, mainly women and joined by women rights defenders gathered in Webuye (Webuye West, Bungoma) against increased cases of femicide. The group demanded for urgent action to end the killing of women. The event happened in the context of 16 days of activism against gender-based violence.",0,"crowd size=no report",1734465869
KEN16558,"10 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Kenya)","Women (Kenya)",Protesters,"Protesters only",,404,"Eastern Africa",Kenya,Busia,Matayos,Burumba,Busia,0.46,34.112,1,"Kenya Broadcasting Corporation",National,"On 10 December 2024, residents, mainly women and joined by women rights defenders, marched while carrying banners and placards to the office of the county commissioner in Busia town (Matayos, Busia) in protest against increased cases of femicide. The group demanded for urgent action to end the killing of women. The event happened in the context of 16 days of activism against gender-based violence.",0,"crowd size=no report",1734465869
KEN16559,"10 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Kenya)","Women (Kenya)",Protesters,"Protesters only",,404,"Eastern Africa",Kenya,Garissa,Garissa,Waberi,Garissa,-0.4536,39.6461,1,"Citizen (Kenya)",National,"On 10 December 2024, residents, mainly women and joined by women rights defenders protested in Garissa (Garissa, Garissa) against increased cases of femicide. The group demanded for urgent action to end the killing of women. The event happened in the context of 16 days of activism against gender-based violence.",0,"crowd size=no report",1734465869
KEN16560,"10 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Kenya)","Government of Kenya (2022-); Women (Kenya)",Protesters,"Protesters only",,404,"Eastern Africa",Kenya,"Homa Bay","Homa Bay Town","Homa Bay Central","Homa Bay",-0.5273,34.4571,1,"Kenya Broadcasting Corporation",National,"On 10 December 2024, residents, mainly women and joined by government officers and the director of children services, gathered in Homa Bay town (Homa Bay Town, Homa Bay) in protest against increased cases of femicide. The group demanded for urgent action to end the killing of women. The event happened in the context of 16 days of activism against gender-based violence.",0,"crowd size=no report",1734465869
KEN16561,"10 December 2024",2024,1,"Political violence",Riots,"Mob violence","Rioters (Kenya)",,Rioters,Rioters-Civilians,"Civilian targeting",404,"Eastern Africa",Kenya,Kajiado,"Kajiado Central",Ildamat,Korompoi,-1.9475,36.7854,1,"Citizen (Kenya); K24; Kenya Broadcasting Corporation",National,"On 10 December 2024, a mob accosted and chased away members of a private women empowerment group, led by the Member of County Assembly (ODM, Azimio) including a surveyor, in Korompoi (Kajiado Central, Kajiado) over the subdivision of a public land, claimed to have been allocated to the women's group. Extent of injuries unknown/not reported.",0,"crowd size=no report; local administrators",1734465869
KEN16561,"10 December 2024",2024,1,"Political violence",Riots,"Mob violence","Civilians (Kenya)","Azimio la Umoja One Kenya Coalition Party; Labor Group (Kenya); ODM: Orange Democratic Movement; Women (Kenya)",Civilians,Rioters-Civilians,"Civilian targeting",404,"Eastern Africa",Kenya,Kajiado,"Kajiado Central",Ildamat,Korompoi,-1.9475,36.7854,1,"Citizen (Kenya); K24; Kenya Broadcasting Corporation",National,"On 10 December 2024, a mob accosted and chased away members of a private women empowerment group, led by the Member of County Assembly (ODM, Azimio) including a surveyor, in Korompoi (Kajiado Central, Kajiado) over the subdivision of a public land, claimed to have been allocated to the women's group. Extent of injuries unknown/not reported.",0,"crowd size=no report; local administrators",1734465869
KEN16562,"10 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Kenya)","Women (Kenya)",Protesters,"Protesters only",,404,"Eastern Africa",Kenya,Kajiado,Loitokitok,Rombo,Rombo,-3.0599,37.7004,1,"KTN News (Kenya)",National,"On 10 December 2024, residents, mainly women and joined by women rights defenders gathered and marched while carrying a banner and chanting in Rombo (Loitokitok, Kajiado) in protest against increased cases of femicide, following the recent incident where a woman was sexually assaulted before being killed in the area. The group demanded for urgent action to end the killing of women. The event happened in the context of 16 days of activism against gender-based violence.",0,"crowd size=no report",1734465869
KEN16563,"10 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Kenya)","Women (Kenya)",Protesters,"Protesters only",,404,"Eastern Africa",Kenya,Kakamega,Lurambi,Sheywe,Kakamega,0.2833,34.7384,1,"Daily Nation (Kenya)",National,"On 10 December 2024, residents, mainly women protested in Kakamega (Lurambi, Kakamega) against increased cases of femicide. The group demanded for urgent action to end the killing of women. The event happened in the context of 16 days of activism against gender-based violence.",0,"crowd size=no report",1734465869
KEN16564,"10 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Kenya)","Women (Kenya)",Protesters,"Protesters only",,404,"Eastern Africa",Kenya,Kiambu,"Kiambu Town",Riabai,Kiambu,-1.1667,36.8333,1,"Daily Nation (Kenya)",National,"On 10 December 2024, residents, mainly women protested in Kiambu (Kiambu Town, Kiambu) against increased cases of femicide. The group demanded for urgent action to end the killing of women. The event happened in the context of 16 days of activism against gender-based violence.",0,"crowd size=no report",1734465869
KEN16565,"10 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Kenya)","Women (Kenya)",Protesters,"Protesters only",,404,"Eastern Africa",Kenya,Kilifi,"Kilifi North",Sokoni,Kilifi,-3.633,39.85,1,"Daily Nation (Kenya); Kenya Broadcasting Corporation; KTN News (Kenya)",National,"On 10 December 2024, residents, mainly women and joined by women rights defenders marched while carrying banners, placards and singing in Kilifi (Kilifi North, Kilifi) in protest against increased cases of femicide. The group demanded for urgent action to end the killing of women. The event happened in the context of 16 days of activism against gender-based violence.",0,"crowd size=no report",1734465869
KEN16566,"10 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Kenya)","Women (Kenya)",Protesters,"Protesters only",,404,"Eastern Africa",Kenya,Kisii,"Nyaribari Chache","Kisii Central",Kisii,-0.6833,34.7667,1,"Daily Nation (Kenya)",National,"On 10 December 2024, residents, mainly women protested in Kisii (Nyaribari Chache, Kisii) against increased cases of femicide. The group demanded for urgent action to end the killing of women. The event happened in the context of 16 days of activism against gender-based violence.",0,"crowd size=no report",1734465869
KEN16567,"10 December 2024",2024,1,"Political violence","Violence against civilians",Attack,"Kalenjin Ethnic Militia (Kenya)",,"Identity militia","Identity militia-Civilians","Civilian targeting",404,"Eastern Africa",Kenya,Kisumu,Nyakach,"South West Nyakach",Nyakach,-0.3835,34.9324,2,"Kenya Broadcasting Corporation; Star (Kenya)",National,"On 10 December 2024, unknown cattle thieves (described as bandits from neighboring Soin Sigowet area, likely Kalenjin militia since Kalenjins are the majority in Soin Sigowet) armed with machetes, spears, and swords raided a homestead and attempted to steal livestock in Kamuoso village in East Kadiang'a Sub-location, Upper Nyakach (other sources mention Ngege area of Kobong'o village in Wahanda East Kadiang'a) (coded to the sub-county headquarters as Nyakach, Nyakach, Kisumu). One person was killed during the incident.",1,,1734465869
KEN16567,"10 December 2024",2024,1,"Political violence","Violence against civilians",Attack,"Civilians (Kenya)",,Civilians,"Identity militia-Civilians","Civilian targeting",404,"Eastern Africa",Kenya,Kisumu,Nyakach,"South West Nyakach",Nyakach,-0.3835,34.9324,2,"Kenya Broadcasting Corporation; Star (Kenya)",National,"On 10 December 2024, unknown cattle thieves (described as bandits from neighboring Soin Sigowet area, likely Kalenjin militia since Kalenjins are the majority in Soin Sigowet) armed with machetes, spears, and swords raided a homestead and attempted to steal livestock in Kamuoso village in East Kadiang'a Sub-location, Upper Nyakach (other sources mention Ngege area of Kobong'o village in Wahanda East Kadiang'a) (coded to the sub-county headquarters as Nyakach, Nyakach, Kisumu). One person was killed during the incident.",1,,1734465869
KEN16568,"10 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Kenya)","Government of Kenya (2022-); Kenya Kwanza Alliance; UDA: United Democratic Alliance; Women (Kenya)",Protesters,"Protesters only",,404,"Eastern Africa",Kenya,Meru,"Imenti North",Municipality,Meru,0.05,37.65,1,"Kenya Broadcasting Corporation",National,"On 10 December 2024, residents, mainly women and joined by women representative (UDA, Kenya Kwanza) gathered in Meru town (Imenti North, Meru) in protest against increased cases of femicide. The group demanded for urgent action to end the killing of women. The event happened in the context of 16 days of activism against gender-based violence.",0,"crowd size=no report",1734465869
KEN16569,"10 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Kenya)","Government of Kenya (2022-); Women (Kenya)",Protesters,"Protesters only",,404,"Eastern Africa",Kenya,Migori,Nyatike,Kachieng',Sori,-0.8409,34.1598,1,"Kenya Broadcasting Corporation; KTN News (Kenya)",National,"On 10 December 2024, residents, mainly women and joined by women rights defenders and county government officials protested in Sori (Nyatike, Migori) against increased cases of femicide. The group demanded for urgent action to end the killing of women. The event happened in the context of 16 days of activism against gender-based violence.",0,"crowd size=no report",1734465869
KEN16570,"10 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Kenya)","Women (Kenya)",Protesters,"Protesters only",,404,"Eastern Africa",Kenya,Mombasa,Mvita,Majengo,Mombasa,-4.0547,39.6636,1,"Kenya Broadcasting Corporation; Reuters",National-International,"On 10 December 2024, residents, mainly women, marched while carrying banners, placards and singing in Mombasa (Mvita, Mombasa) in protest against increased cases of femicide. The group demanded for urgent action to end the killing of women. The event happened in the context of 16 days of activism against gender-based violence.",0,"crowd size=no report",1734465869
KEN16571,"10 December 2024",2024,2,"Political violence",Riots,"Mob violence","Rioters (Kenya)","Vigilante Group (Kenya)",Rioters,Rioters-Civilians,"Civilian targeting",404,"Eastern Africa",Kenya,Nairobi,Kasarani,,"Nairobi - Kasarani",-1.2254,36.8977,1,"Star (Kenya)",National,"Around 10 December 2024 (as reported), a mob captured a man before dragging him to a bar in Chokaa, within the Nairobi - Kasarani (Kasarani, Nairobi) for stabbing another man to death. The suspect was rescued by the police and placed under custody. Extent of injuries unknown/not reported.",0,"crowd size=no report",1734465869
KEN16571,"10 December 2024",2024,2,"Political violence",Riots,"Mob violence","Civilians (Kenya)",,Civilians,Rioters-Civilians,"Civilian targeting",404,"Eastern Africa",Kenya,Nairobi,Kasarani,,"Nairobi - Kasarani",-1.2254,36.8977,1,"Star (Kenya)",National,"Around 10 December 2024 (as reported), a mob captured a man before dragging him to a bar in Chokaa, within the Nairobi - Kasarani (Kasarani, Nairobi) for stabbing another man to death. The suspect was rescued by the police and placed under custody. Extent of injuries unknown/not reported.",0,"crowd size=no report",1734465869
KEN16572,"10 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Kenya)","Health Workers (Kenya); KMPDU: Kenya Medical Practitioners, Pharmacists and Dentists Union; KNUN: Kenya National Union of Nurses; Labor Group (Kenya)",Protesters,"Protesters only",,404,"Eastern Africa",Kenya,Nairobi,Starehe,"Nairobi Central",Nairobi,-1.283,36.817,1,"Citizen (Kenya); KTN News (Kenya); NTV (Kenya)","New media-National","On 10 December 2024, doctors gathered and sang solidarity songs at the Nairobi hospital (Starehe, Nairobi) in protest against mismanagement at the facility. Led by KMPDU officials, the group demanded for the resignation of the entire board of directors including the chief executive officer.",0,"crowd size=no report",1734465869
KEN16573,"10 December 2024",2024,1,Demonstrations,Protests,"Protest with intervention","Protesters (Kenya)","Civilians (Kenya); Journalists (Kenya); Women (Kenya)",Protesters,"State forces-Protesters",,404,"Eastern Africa",Kenya,Nairobi,Starehe,"Nairobi Central",Nairobi,-1.283,36.817,1,"Africa News; Citizen (Kenya); Daily Nation (Kenya); France24; Kenya Broadcasting Corporation; Kenya Standard; Kenyans.co; KTN News (Kenya); People Daily; Reuters; Star (Kenya)",National-Regional,"On 10 December 2024, hundreds of residents, mainly women and joined by women rights defenders, gathered at the Jeevanjee gardens and marched while chanting, carrying placards and blowing whistles within the Nairobi central business district (Starehe, Nairobi) in protest against increased cases of femicide. Police intervened and lobbed teargas as well as arrested at least three (other sources mention five, while others 10) people. Several people, including journalists sustained injuries during the incident. The event happened in the context of 16 days of activism against gender-based violence.",0,"crowd size=hundreds",1734465869
KEN16573,"10 December 2024",2024,1,Demonstrations,Protests,"Protest with intervention","Police Forces of Kenya (2022-)",,"State forces","State forces-Protesters",,404,"Eastern Africa",Kenya,Nairobi,Starehe,"Nairobi Central",Nairobi,-1.283,36.817,1,"Africa News; Citizen (Kenya); Daily Nation (Kenya); France24; Kenya Broadcasting Corporation; Kenya Standard; Kenyans.co; KTN News (Kenya); People Daily; Reuters; Star (Kenya)",National-Regional,"On 10 December 2024, hundreds of residents, mainly women and joined by women rights defenders, gathered at the Jeevanjee gardens and marched while chanting, carrying placards and blowing whistles within the Nairobi central business district (Starehe, Nairobi) in protest against increased cases of femicide. Police intervened and lobbed teargas as well as arrested at least three (other sources mention five, while others 10) people. Several people, including journalists sustained injuries during the incident. The event happened in the context of 16 days of activism against gender-based violence.",0,"crowd size=hundreds",1734465869
KEN16574,"10 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Kenya)","Women (Kenya)",Protesters,"Protesters only",,404,"Eastern Africa",Kenya,Nakuru,"Nakuru North",Kabatini,Nakuru,-0.2441,36.142,1,"Daily Nation (Kenya)",National,"On 10 December 2024, residents, mainly women and joined by women rights defenders, marched while carrying placards and banners in Nakuru (Nakuru North, Nakuru) in protest against increased cases of femicide. The group demanded for urgent action to end the killing of women. The event happened in the context of 16 days of activism against gender-based violence.",0,"crowd size=no report",1734465869
KEN16575,"10 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Kenya)","Women (Kenya)",Protesters,"Protesters only",,404,"Eastern Africa",Kenya,Nandi,Chesumei,Chemundu,Kapsabet,0.2039,35.105,1,"Citizen (Kenya); KTN News (Kenya)",National,"On 10 December 2024, residents, mainly women and joined by women rights defenders marched while carrying banners and placards in Kapsabet (Chesumei, Nandi) in protest against increased cases of femicide. The group demanded for urgent action to end the killing of women. The event happened in the context of 16 days of activism against gender-based violence.",0,"crowd size=no report",1734465869
KEN16576,"10 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Kenya)","Students (Kenya); Women (Kenya)",Protesters,"Protesters only",,404,"Eastern Africa",Kenya,Nyeri,"Nyeri Central",Rware,Nyeri,-0.4167,36.95,1,"Daily Nation (Kenya); KTN News (Kenya)",National,"On 10 December 2024, residents, mainly women, the deaf, university students and parents of children living with disabilities and joined by women rights defenders, marched (under police escort) to the deputy county commissioner's office in Nyeri town (Nyeri Central, Nyeri) in protest against increased cases of femicide. The group demanded for urgent action to end the killing of women. The event happened in the context of 16 days of activism against gender-based violence.",0,"crowd size=no report",1734465869
KEN16577,"10 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Kenya)","Women (Kenya)",Protesters,"Protesters only",,404,"Eastern Africa",Kenya,Turkana,"Turkana Central","Lodwar Township",Lodwar,3.1191,35.5973,1,Reuters,International,"On 10 December 2024, residents, mainly women protested in Lodwar (Turkana Central, Turkana) against increased cases of femicide. The group demanded for urgent action to end the killing of women. The event happened in the context of 16 days of activism against gender-based violence.",0,"crowd size=no report",1734465869
KEN16578,"10 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Kenya)","Lawyers (Kenya); Women (Kenya)",Protesters,"Protesters only",,404,"Eastern Africa",Kenya,"Uasin Gishu",Moiben,Kimumu,Eldoret,0.5167,35.2833,1,"Daily Nation (Kenya)",National,"On 10 December 2024, residents, mainly women and joined by women rights defenders including a lawyer, gathered while carrying a banner in Eldoret (Moiben, Uasin Gishu) in protest against increased cases of femicide. The group demanded for urgent action to end the killing of women. The event happened in the context of 16 days of activism against gender-based violence.",0,"crowd size=no report",1734465869
KEN16548,"09 December 2024",2024,1,"Political violence",Riots,"Mob violence","Rioters (Kenya)","Kenya Kwanza Alliance; UDA: United Democratic Alliance",Rioters,Rioters-Civilians,"Civilian targeting",404,"Eastern Africa",Kenya,Kisii,"Nyaribari Chache","Kisii Central",Kisii,-0.6833,34.7667,1,"Opera News (Kenya)",National,"On 9 December 2024, youths allied to Nyaribari Chache Member of Parliament (MP) (UDA, Kenya Kwanza), waylaid, attacked and injured a politician who also serves as a leader to the boda boda taxi operators in Mashauri area of Kisii (Nyaribari Chache, Kisii) for de-campaigning the MP.",0,"crowd size=no report",1734465869
